,0,1,2,3
0,408455,"['2019-08-22T14:14:08', '2019-08-22T14:00:36', '2019-08-22T14:00:30', '2019-08-22T13:58:07', '2019-08-22T11:20:33', '2019-08-22T11:20:07', '2019-08-22T11:06:07', '2019-08-21T22:54:27', '2019-08-21T22:07:10', '2019-08-21T21:50:28', '2019-08-21T21:24:12', '2019-08-21T21:21:00', '2019-08-21T12:03:34', '2019-08-21T11:31:25', '2019-08-21T09:59:30', '2019-08-21T09:42:31', '2019-08-21T00:09:55', '2019-08-21T00:09:48', '2019-08-21T00:06:53', '2019-08-21T00:02:39']","[5.2, 5.0, 38.0, 38.0, 39.0, 40.0, 40.0, 42.0, 40.0, 40.0, 36.0, 40.0, 45.0, 35.0, 45.0, 45.0, 68.98, 68.98, 68.98, 68.98]","[20, 20, 139, 20, 3, 28, 3, 100, 16, 3, 190, 85, 4, 3, 3, 1, 10, 10, 500, 71]"
1,407378,['2019-08-17T14:40:55'],[52.0],[10]
2,395198,"['2019-08-21T15:42:25', '2019-08-21T12:56:36']","[40.0, 40.0]","[50, 100]"
3,285822,"['2019-08-22T14:49:42', '2019-08-22T14:05:01', '2019-08-22T13:50:36', '2019-08-22T13:50:36', '2019-08-21T14:08:07', '2019-08-21T14:03:24', '2019-08-21T00:33:48']","[40.0, 40.0, 38.0, 38.0, 45.0, 44.99, 40.0]","[200, 100, 123, 77, 27, 20, 10]"
4,104848,"['2019-08-22T14:49:42', '2019-08-22T10:30:18', '2019-08-22T09:10:27', '2019-08-22T07:49:28', '2019-08-21T21:35:44', '2019-08-21T21:35:38', '2019-08-21T18:38:00', '2019-08-21T18:36:39', '2019-08-21T18:36:21', '2019-08-21T00:15:37', '2019-08-20T22:59:38', '2019-08-20T22:59:38', '2019-08-17T18:52:03', '2019-08-17T18:52:03', '2019-08-17T17:59:03', '2019-08-17T17:58:41']","[40.0, 42.0, 42.0, 42.0, 42.5, 42.0, 43.99, 43.99, 43.99, 40.0, 56.0, 65.0, 56.0, 56.0, 53.0, 52.63]","[176, 1, 10, 2, 80, 55, 20, 20, 30, 500, 25, 10, 5, 5, 30, 80]"
5,307470,"['2019-08-17T15:06:49', '2019-08-17T15:04:41', '2019-08-17T15:04:03', '2019-08-17T15:03:30']","[70.0, 70.0, 70.0, 70.0]","[4, 1, 4, 1]"
6,346114,"['2019-08-22T14:49:42', '2019-08-19T18:27:12', '2019-08-19T16:52:48', '2019-08-19T16:52:38', '2019-08-19T16:03:31', '2019-08-19T15:03:57', '2019-08-19T14:24:39', '2019-08-19T13:13:31']","[40.0, 52.62, 40.0, 45.0, 42.0, 49.0, 45.0, 45.0]","[100, 32, 50, 20, 50, 3, 31, 100]"
7,395849,['2019-08-20T22:56:44'],[41.0],[100]
8,4768,"['2019-08-20T17:38:52', '2019-08-20T17:38:51']","[40.0, 40.0]","[50, 50]"
9,320717,['2019-08-22T14:50:57'],[37.5],[71]
10,353233,"['2019-08-20T23:47:00', '2019-08-20T22:59:29', '2019-08-20T22:59:29', '2019-08-20T22:59:29', '2019-08-20T22:59:29', '2019-08-20T22:59:28', '2019-08-20T22:59:28', '2019-08-20T22:59:28', '2019-08-20T22:59:28', '2019-08-20T22:59:28', '2019-08-20T22:59:28']","[68.99, 52.61, 52.61, 52.61, 52.61, 52.61, 52.61, 52.61, 52.61, 52.61, 52.61]","[21, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
11,438735,"['2019-08-22T15:02:45', '2019-08-21T21:35:44', '2019-08-21T01:51:28', '2019-08-21T01:48:28', '2019-08-20T22:59:38']","[40.0, 42.5, 45.0, 45.0, 65.0]","[10, 100, 50, 100, 30]"
12,215979,['2019-08-19T03:00:33'],[51.0],[10]
13,491799,"['2019-08-22T14:49:42', '2019-08-21T21:35:44']","[40.0, 42.5]","[24, 100]"
14,365052,"['2019-08-19T09:48:13', '2019-08-19T09:48:11', '2019-08-19T09:48:10', '2019-08-19T09:48:08', '2019-08-19T09:48:01', '2019-08-18T18:36:47']","[52.5, 52.5, 52.5, 52.5, 52.5, 50.0]","[10, 10, 10, 10, 10, 61]"
15,285649,['2019-08-18T19:21:51'],[52.63],[10]
16,261227,"['2019-08-21T00:22:12', '2019-08-21T00:21:05']","[40.0, 40.0]","[494, 6]"
17,205602,['2019-08-20T23:01:21'],[70.0],[2]
18,382525,"['2019-08-21T00:22:12', '2019-08-19T14:10:24']","[40.0, 45.0]","[6, 19]"
19,452182,['2019-08-19T09:43:39'],[52.0],[20]
20,262092,['2019-08-17T22:52:44'],[40.0],[3]
